X,Y
4682.56,-776.23
4221.89,-792.97
4178.37,-828.17
4101.74,-844.07
4593.62,-746.16
4716.92,-869.41
4142.28,-941.31
4779.94,-915.96
4103.4,-987.65
4012.35,-1037.66
973.01,-1121.08
958.58,-1211.81
890.3,-1148.32
1025.58,-1180.67
1039.93,-1222.41
562.61,-1410.34
582.31,-1494.04
656.41,-1500.26
646.8,-1730.05
677.12,-1771.59
445.23,-1124.93
363.9,-1183.96
785.27,-1141.56
847.64,-1407.51
938.44,-1426.74
1149.51,-1522.91
1114.13,-1518.91
1236.34,-1495.9
963.87,-1745.46
886.16,-1773.71
1723.61,-1061.95
1754.62,-1100.9
1709.11,-1144.26
1486.83,-1131.93
1467.64,-1210.34
1812.02,-1170.07
1676,-1196.87
1572.19,-1119.79
1644.24,-1165.62
1531.9,-1199.54
1809.92,-1219.02
1710.97,-1263.18
1972.21,-1155.81
2021.85,-1193.83
1588.9,-1246.39
1211.16,-1170.9
1284.23,-1261.21
1820.92,-1285.51
2063.26,-1277.99
1676.29,-1313.18
1431.24,-1255.55
1492.41,-1281.62
1909.74,-1288.2
1870.33,-1329.88
1585.5,-1331.79
1588.39,-1372.17
1434.4,-1348.31
1369.34,-1357.39
1296.84,-1299.69
1259.65,-1337.5
1298.14,-1380.19
1749.26,-1338.25
1729.83,-1381.2
1976.17,-1339.46
2054.74,-1384.1
1906.01,-1351.94
1774.88,-1399.09
1694.24,-1437.98
1963.43,-1435.21
1355.32,-1436.1
1466.21,-1462.04
1602.72,-1489.32
1720.35,-1479.18
1296.88,-1479.78
1348.9,-1493.29
1829.08,-1468.03
1413.43,-1550.8
1883.88,-1482.49
1900.63,-1520.6
1771.18,-1566.35
1699.26,-1576.64
1324.98,-1595.7
1418.81,-1587.79
2005.78,-1570.33
2000.36,-1536.43
1925.75,-1646.5
2036.4,-1641.66
1989.28,-1696.14
1537.71,-1579.64
1588.35,-1599.26
1642.36,-1638.66
1578.89,-1640.24
1412.38,-1705.48
1268.72,-1625.46
1475.45,-1773.65
1591.44,-1760.98
1560.94,-1741.62
1715.87,-1761.75
1578.34,-1882.83
1248.97,-1794.64
1221.3,-1851.12
1984.38,-1855.61
1908.43,-1812.36
1883.31,-1884.09
2099.55,-1896.71
1626.21,-1900.39
1654.53,-1944.92
1737.63,-1919.9
1486.79,-1968.88
1774.23,-1606.42
1711.94,-1704.43
1870.43,-1698.71
1891.51,-1761.67
1829.74,-1798.65
1766.78,-1820.2
1798.54,-1879.84
2678.82,-1069.36
2751.26,-1072.24
2709.07,-1096.02
2614.91,-1106.81
2778.18,-1117.77
2736.14,-1125.73
2628.22,-1149.37
2667.78,-1140.99
2827.12,-1123.41
2644.94,-1205.76
2938.34,-1109.52
3005,-1177.64
2889.91,-1212.23
2543.83,-1126.2
2497.67,-1154.41
3113.09,-1142.57
3115.51,-1193.16
3078.87,-1248.86
2651.49,-1242.96
2419.46,-1235.23
2464.53,-1266.08
2316.59,-1163.08
2369.76,-1201.64
2366.75,-1269.54
2983.88,-1294.86
3135.86,-1291.08
2714.49,-1288.44
2832.77,-1300.53
2886.73,-1300.76
2499.19,-1309.92
2664.79,-1343.88
3079.48,-1318.34
